Q1,Q2,Q3_1,Q3_2,Q3_3,Q3_4,Q3_5,Q3_6,Q3_7,Q3_8,Q3_9,Q3_10,Q3_11,Q3_12,Q3_13,Q3_14,Q3_15,Q3_16,Q3_17,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5,Q4_6,Q4_7,Q4_8,Q4_9,Q4_10,Q4_11,Q4_12,Q4_13,Q4_14,Q4_15,Q4_16,Q4_17,Q4_18,Q4_19,Q4_20,Q4_21,Q4_22,Q4_23,Q4_24,Q4_25,Q4_26,Q4_27,Q4_28,Q4_29,Q4_30,Q5,Q5_5_TEXT,Q6,Q7,Q7_1_TEXT,Q7_2_TEXT,Q8
"Informed
Consent

 

Dear Participant, As current teacher
in Santa Rosa County School District, you are invited to participate in a study
titled, “Exploring Secondary Traumatic Stress in K-12 Educators.”  Please note that participation in this study
is completely voluntary.  If you choose
to participate, you should expect to spend approximately fifteen minutes
completing an electronic questionnaire.  You may choose to discontinue your
participation at any time without repercussions.  The study is being conducted by Melanie
DiLoreto, an instructor of teacher education at the University of West
Florida.   Overview of Study The following
research project activities demonstrate my professional commitment to
understanding the influence secondary traumatic stress (STS) has on educators’
experiences and their thoughts about leaving the teaching profession.  There is a nationwide shortage of teachers
and enrollment in educator preparation programs is at an all-time low across
the United States (Walker, 2019).  There
are various reasons reported for this shortage, some of which refer to teacher
burn-out.  However, a fairly new
phenomenon in the literature focuses on teachers’ STS or STS disorder (STSD)
from personally connecting with numerous students who report their own
tragedies to their teachers.  It is suspected that STS is a major
contributor of teachers leaving or avoiding the profession.  This research is only recently budding in the
literature as there are few studies of its sort.  By understanding this newly identified
phenomenon, I hope to better engage pre-service and in-service educators with
these topics.

Benefits and RisksThe education community
at large may benefit from this study as a result of a better understanding of
the traumatic stress that teachers experience. 
Furthermore, these results may be used as a means to better understand
how traumatic stress may impact teachers’ plans for beginning or staying in the
field of education.  Finally, by
disseminating the results at a conference presentation or publication in an
appropriate journal, the results of this study may add to the existing body of
knowledge about teachers’ secondary traumatic stress and how it may impact
future plans of those teachers.  Although there are
no foreseeable risks, it is understood that teachers may not want to share
their feelings about secondary traumatic stress and/or their plans for staying
or leaving the teaching profession. 
Please know that responses are anonymous, and that any identifying information
inadvertently collected throughout the study will be removed immediately.  Only aggregate data will be included for the
results of this study.  These data will
remain secure, and they will be destroyed within three years of the data
collection.  Results from the analyses of
the data may be used in professional conferences and educational journals.  ResultsIf you would like
a copy of the results, please send an email request to Dr. Melanie DiLoreto at mdiloreto@uwf.edu.  If you have any questions or concerns with
this research, feel free to contact Dr. DiLoreto at 850.857.6496.  If you would like to speak with someone other
than the researcher, you may contact the University of West Florida
Institutional Review Board at 850.474.2824. Institutional
Review Board ApprovalThis project has been
reviewed by the Human Subjects Protection Review Committee, which ensures that
research projects involving human subjects follow federal regulations.  Any questions or concerns about rights as a
research subject should be directed to the chair of the Institutional Review
Board, the University of West Florida, 11000 University Parkway, Pensacola, FL
32514, 850.474.2824. I agree to
participate in the study and I am at least 18 years of age.",I am currently a classroom teacher:,The following is a list of statements made by persons who have been impacted by their work with traumatized individuals.  Read each statement then indicate how frequently the statement was true for you in the past seven (7) days by selecting the appropriate response. - I felt emotionally numb,The following is a list of statements made by persons who have been impacted by their work with traumatized individuals.  Read each statement then indicate how frequently the statement was true for you in the past seven (7) days by selecting the appropriate response. - My heart started pounding when I thought about my work with students,The following is a list of statements made by persons who have been impacted by their work with traumatized individuals.  Read each statement then indicate how frequently the statement was true for you in the past seven (7) days by selecting the appropriate response. - It seemed as if I was reliving the trauma(s) experienced by my students,The following is a list of statements made by persons who have been impacted by their work with traumatized individuals.  Read each statement then indicate how frequently the statement was true for you in the past seven (7) days by selecting the appropriate response. - I had trouble sleeping,The following is a list of statements made by persons who have been impacted by their work with traumatized individuals.  Read each statement then indicate how frequently the statement was true for you in the past seven (7) days by selecting the appropriate response. - I felt discouraged about the future,The following is a list of statements made by persons who have been impacted by their work with traumatized individuals.  Read each statement then indicate how frequently the statement was true for you in the past seven (7) days by selecting the appropriate response. - Reminders of my work with students upset me,The following is a list of statements made by persons who have been impacted by their work with traumatized individuals.  Read each statement then indicate how frequently the statement was true for you in the past seven (7) days by selecting the appropriate response. - I had little interest in being around others,The following is a list of statements made by persons who have been impacted by their work with traumatized individuals.  Read each statement then indicate how frequently the statement was true for you in the past seven (7) days by selecting the appropriate response. - I felt jumpy,The following is a list of statements made by persons who have been impacted by their work with traumatized individuals.  Read each statement then indicate how frequently the statement was true for you in the past seven (7) days by selecting the appropriate response. - I was less active than usual,The following is a list of statements made by persons who have been impacted by their work with traumatized individuals.  Read each statement then indicate how frequently the statement was true for you in the past seven (7) days by selecting the appropriate response. - I thought about my work with students when I didn't intend to,The following is a list of statements made by persons who have been impacted by their work with traumatized individuals.  Read each statement then indicate how frequently the statement was true for you in the past seven (7) days by selecting the appropriate response. - I had trouble concentrating,"The following is a list of statements made by persons who have been impacted by their work with traumatized individuals.  Read each statement then indicate how frequently the statement was true for you in the past seven (7) days by selecting the appropriate response. - I avoided people, places, or things that reminded me of my work with students",The following is a list of statements made by persons who have been impacted by their work with traumatized individuals.  Read each statement then indicate how frequently the statement was true for you in the past seven (7) days by selecting the appropriate response. - I had disturbing dreams about my work with students,The following is a list of statements made by persons who have been impacted by their work with traumatized individuals.  Read each statement then indicate how frequently the statement was true for you in the past seven (7) days by selecting the appropriate response. - I wanted to avoid working with some students,The following is a list of statements made by persons who have been impacted by their work with traumatized individuals.  Read each statement then indicate how frequently the statement was true for you in the past seven (7) days by selecting the appropriate response. - I was easily annoyed,The following is a list of statements made by persons who have been impacted by their work with traumatized individuals.  Read each statement then indicate how frequently the statement was true for you in the past seven (7) days by selecting the appropriate response. - I expected something bad to happen,The following is a list of statements made by persons who have been impacted by their work with traumatized individuals.  Read each statement then indicate how frequently the statement was true for you in the past seven (7) days by selecting the appropriate response. - I noticed gaps in my memory about students,"When you help/teach people, you have direct contact with their lives.  As you may have found, your compassion for those you help/teach can affect you in positive and negative ways.  Below are some questions about your experiences, both positive and negative, as a teacher.  Consider each of the following questions about you and your current work situation.  Select the number that honestly reflects how frequently you experienced these things in the last 30 days. - I am happy.","When you help/teach people, you have direct contact with their lives.  As you may have found, your compassion for those you help/teach can affect you in positive and negative ways.  Below are some questions about your experiences, both positive and negative, as a teacher.  Consider each of the following questions about you and your current work situation.  Select the number that honestly reflects how frequently you experienced these things in the last 30 days. - I am preoccupied with more than one person I teach.","When you help/teach people, you have direct contact with their lives.  As you may have found, your compassion for those you help/teach can affect you in positive and negative ways.  Below are some questions about your experiences, both positive and negative, as a teacher.  Consider each of the following questions about you and your current work situation.  Select the number that honestly reflects how frequently you experienced these things in the last 30 days. - I get satisfaction from being able to teach people.","When you help/teach people, you have direct contact with their lives.  As you may have found, your compassion for those you help/teach can affect you in positive and negative ways.  Below are some questions about your experiences, both positive and negative, as a teacher.  Consider each of the following questions about you and your current work situation.  Select the number that honestly reflects how frequently you experienced these things in the last 30 days. - I feel connected to others.","When you help/teach people, you have direct contact with their lives.  As you may have found, your compassion for those you help/teach can affect you in positive and negative ways.  Below are some questions about your experiences, both positive and negative, as a teacher.  Consider each of the following questions about you and your current work situation.  Select the number that honestly reflects how frequently you experienced these things in the last 30 days. - I jump or am startled by unexpected sounds.","When you help/teach people, you have direct contact with their lives.  As you may have found, your compassion for those you help/teach can affect you in positive and negative ways.  Below are some questions about your experiences, both positive and negative, as a teacher.  Consider each of the following questions about you and your current work situation.  Select the number that honestly reflects how frequently you experienced these things in the last 30 days. - I feel invigorated after working with those I teach.","When you help/teach people, you have direct contact with their lives.  As you may have found, your compassion for those you help/teach can affect you in positive and negative ways.  Below are some questions about your experiences, both positive and negative, as a teacher.  Consider each of the following questions about you and your current work situation.  Select the number that honestly reflects how frequently you experienced these things in the last 30 days. - I find it difficult to separate my personal life from my life as a teacher.","When you help/teach people, you have direct contact with their lives.  As you may have found, your compassion for those you help/teach can affect you in positive and negative ways.  Below are some questions about your experiences, both positive and negative, as a teacher.  Consider each of the following questions about you and your current work situation.  Select the number that honestly reflects how frequently you experienced these things in the last 30 days. - I am not as productive at work because I am losing sleep over traumatic experiences of a person I teach.","When you help/teach people, you have direct contact with their lives.  As you may have found, your compassion for those you help/teach can affect you in positive and negative ways.  Below are some questions about your experiences, both positive and negative, as a teacher.  Consider each of the following questions about you and your current work situation.  Select the number that honestly reflects how frequently you experienced these things in the last 30 days. - I think that I might have been affected by the traumatic stress of those I teach.","When you help/teach people, you have direct contact with their lives.  As you may have found, your compassion for those you help/teach can affect you in positive and negative ways.  Below are some questions about your experiences, both positive and negative, as a teacher.  Consider each of the following questions about you and your current work situation.  Select the number that honestly reflects how frequently you experienced these things in the last 30 days. - I feel trapped by my job as a teacher.","When you help/teach people, you have direct contact with their lives.  As you may have found, your compassion for those you help/teach can affect you in positive and negative ways.  Below are some questions about your experiences, both positive and negative, as a teacher.  Consider each of the following questions about you and your current work situation.  Select the number that honestly reflects how frequently you experienced these things in the last 30 days. - Because of my teaching, I have felt ""on edge"" about various things.","When you help/teach people, you have direct contact with their lives.  As you may have found, your compassion for those you help/teach can affect you in positive and negative ways.  Below are some questions about your experiences, both positive and negative, as a teacher.  Consider each of the following questions about you and your current work situation.  Select the number that honestly reflects how frequently you experienced these things in the last 30 days. - I like my work as a teacher.","When you help/teach people, you have direct contact with their lives.  As you may have found, your compassion for those you help/teach can affect you in positive and negative ways.  Below are some questions about your experiences, both positive and negative, as a teacher.  Consider each of the following questions about you and your current work situation.  Select the number that honestly reflects how frequently you experienced these things in the last 30 days. - I feel depressed because of the traumatic experiences of the people I teach.","When you help/teach people, you have direct contact with their lives.  As you may have found, your compassion for those you help/teach can affect you in positive and negative ways.  Below are some questions about your experiences, both positive and negative, as a teacher.  Consider each of the following questions about you and your current work situation.  Select the number that honestly reflects how frequently you experienced these things in the last 30 days. - I feel as though I am experiencing the trauma of someone I have taught.","When you help/teach people, you have direct contact with their lives.  As you may have found, your compassion for those you help/teach can affect you in positive and negative ways.  Below are some questions about your experiences, both positive and negative, as a teacher.  Consider each of the following questions about you and your current work situation.  Select the number that honestly reflects how frequently you experienced these things in the last 30 days. - I have beliefs that sustain me.","When you help/teach people, you have direct contact with their lives.  As you may have found, your compassion for those you help/teach can affect you in positive and negative ways.  Below are some questions about your experiences, both positive and negative, as a teacher.  Consider each of the following questions about you and your current work situation.  Select the number that honestly reflects how frequently you experienced these things in the last 30 days. - I am pleased with how I am able to keep up with teaching techniques and protocols.","When you help/teach people, you have direct contact with their lives.  As you may have found, your compassion for those you help/teach can affect you in positive and negative ways.  Below are some questions about your experiences, both positive and negative, as a teacher.  Consider each of the following questions about you and your current work situation.  Select the number that honestly reflects how frequently you experienced these things in the last 30 days. - I am the person I always wanted to be.","When you help/teach people, you have direct contact with their lives.  As you may have found, your compassion for those you help/teach can affect you in positive and negative ways.  Below are some questions about your experiences, both positive and negative, as a teacher.  Consider each of the following questions about you and your current work situation.  Select the number that honestly reflects how frequently you experienced these things in the last 30 days. - My work makes me feel satisfied.","When you help/teach people, you have direct contact with their lives.  As you may have found, your compassion for those you help/teach can affect you in positive and negative ways.  Below are some questions about your experiences, both positive and negative, as a teacher.  Consider each of the following questions about you and your current work situation.  Select the number that honestly reflects how frequently you experienced these things in the last 30 days. - I feel worn out because of my work as a teacher.","When you help/teach people, you have direct contact with their lives.  As you may have found, your compassion for those you help/teach can affect you in positive and negative ways.  Below are some questions about your experiences, both positive and negative, as a teacher.  Consider each of the following questions about you and your current work situation.  Select the number that honestly reflects how frequently you experienced these things in the last 30 days. - I have happy thoughts and feelings about those I teach and how I could help them.","When you help/teach people, you have direct contact with their lives.  As you may have found, your compassion for those you help/teach can affect you in positive and negative ways.  Below are some questions about your experiences, both positive and negative, as a teacher.  Consider each of the following questions about you and your current work situation.  Select the number that honestly reflects how frequently you experienced these things in the last 30 days. - I feel overwhelmed because my case teaching load seems endless.","When you help/teach people, you have direct contact with their lives.  As you may have found, your compassion for those you help/teach can affect you in positive and negative ways.  Below are some questions about your experiences, both positive and negative, as a teacher.  Consider each of the following questions about you and your current work situation.  Select the number that honestly reflects how frequently you experienced these things in the last 30 days. - I believe I can make a difference through my work.","When you help/teach people, you have direct contact with their lives.  As you may have found, your compassion for those you help/teach can affect you in positive and negative ways.  Below are some questions about your experiences, both positive and negative, as a teacher.  Consider each of the following questions about you and your current work situation.  Select the number that honestly reflects how frequently you experienced these things in the last 30 days. - I avoid certain activities or situations because they remind me of frightening experiences of the people I teach.","When you help/teach people, you have direct contact with their lives.  As you may have found, your compassion for those you help/teach can affect you in positive and negative ways.  Below are some questions about your experiences, both positive and negative, as a teacher.  Consider each of the following questions about you and your current work situation.  Select the number that honestly reflects how frequently you experienced these things in the last 30 days. - I am proud of what I can do to teach.","When you help/teach people, you have direct contact with their lives.  As you may have found, your compassion for those you help/teach can affect you in positive and negative ways.  Below are some questions about your experiences, both positive and negative, as a teacher.  Consider each of the following questions about you and your current work situation.  Select the number that honestly reflects how frequently you experienced these things in the last 30 days. - As a result of my teaching, I have intrusive, frightening thoughts.","When you help/teach people, you have direct contact with their lives.  As you may have found, your compassion for those you help/teach can affect you in positive and negative ways.  Below are some questions about your experiences, both positive and negative, as a teacher.  Consider each of the following questions about you and your current work situation.  Select the number that honestly reflects how frequently you experienced these things in the last 30 days. - I feel ""bogged down"" by the system.","When you help/teach people, you have direct contact with their lives.  As you may have found, your compassion for those you help/teach can affect you in positive and negative ways.  Below are some questions about your experiences, both positive and negative, as a teacher.  Consider each of the following questions about you and your current work situation.  Select the number that honestly reflects how frequently you experienced these things in the last 30 days. - I have thoughts that I am a ""success"" as a teacher.","When you help/teach people, you have direct contact with their lives.  As you may have found, your compassion for those you help/teach can affect you in positive and negative ways.  Below are some questions about your experiences, both positive and negative, as a teacher.  Consider each of the following questions about you and your current work situation.  Select the number that honestly reflects how frequently you experienced these things in the last 30 days. - I can't recall important parts of my work with trauma victims.","When you help/teach people, you have direct contact with their lives.  As you may have found, your compassion for those you help/teach can affect you in positive and negative ways.  Below are some questions about your experiences, both positive and negative, as a teacher.  Consider each of the following questions about you and your current work situation.  Select the number that honestly reflects how frequently you experienced these things in the last 30 days. - I am a very caring person.","When you help/teach people, you have direct contact with their lives.  As you may have found, your compassion for those you help/teach can affect you in positive and negative ways.  Below are some questions about your experiences, both positive and negative, as a teacher.  Consider each of the following questions about you and your current work situation.  Select the number that honestly reflects how frequently you experienced these things in the last 30 days. - I am happy that I chose to do this work.","In the next three years, I believe I will: - Selected Choice","In the next three years, I believe I will: - Other (explain) - Text",Explain/describe why you believe you will leave the teaching profession.,Do you believe that your experiences working with students that have experienced trauma impacts your decision to stay or leave the teaching profession?  Briefly explain. - Selected Choice,Do you believe that your experiences working with students that have experienced trauma impacts your decision to stay or leave the teaching profession?  Briefly explain. - Yes (explain) - Text,Do you believe that your experiences working with students that have experienced trauma impacts your decision to stay or leave the teaching profession?  Briefly explain. - No (explain) - Text,Please provide any additional information you believe will help the researcher better understand your experiences working with students that have undergone traumatic experiences and/or your thoughts about how those experiences may impact your thoughts about staying or leaving the teaching profession.
"{""ImportId"":""QID1""}","{""ImportId"":""QID16""}","{""ImportId"":""QID5_1""}","{""ImportId"":""QID5_2""}","{""ImportId"":""QID5_3""}","{""ImportId"":""QID5_4""}","{""ImportId"":""QID5_5""}","{""ImportId"":""QID5_6""}","{""ImportId"":""QID5_7""}","{""ImportId"":""QID5_8""}","{""ImportId"":""QID5_9""}","{""ImportId"":""QID5_10""}","{""ImportId"":""QID5_11""}","{""ImportId"":""QID5_12""}","{""ImportId"":""QID5_13""}","{""ImportId"":""QID5_14""}","{""ImportId"":""QID5_15""}","{""ImportId"":""QID5_16""}","{""ImportId"":""QID5_17""}","{""ImportId"":""QID6_1""}","{""ImportId"":""QID6_2""}","{""ImportId"":""QID6_3""}","{""ImportId"":""QID6_4""}","{""ImportId"":""QID6_5""}","{""ImportId"":""QID6_6""}","{""ImportId"":""QID6_7""}","{""ImportId"":""QID6_8""}","{""ImportId"":""QID6_9""}","{""ImportId"":""QID6_10""}","{""ImportId"":""QID6_11""}","{""ImportId"":""QID6_12""}","{""ImportId"":""QID6_13""}","{""ImportId"":""QID6_14""}","{""ImportId"":""QID6_15""}","{""ImportId"":""QID6_16""}","{""ImportId"":""QID6_17""}","{""ImportId"":""QID6_18""}","{""ImportId"":""QID6_19""}","{""ImportId"":""QID6_20""}","{""ImportId"":""QID6_21""}","{""ImportId"":""QID6_22""}","{""ImportId"":""QID6_23""}","{""ImportId"":""QID6_24""}","{""ImportId"":""QID6_25""}","{""ImportId"":""QID6_26""}","{""ImportId"":""QID6_27""}","{""ImportId"":""QID6_28""}","{""ImportId"":""QID6_29""}","{""ImportId"":""QID6_30""}","{""ImportId"":""QID7""}","{""ImportId"":""QID7_5_TEXT""}","{""ImportId"":""QID12_TEXT""}","{""ImportId"":""QID13""}","{""ImportId"":""QID13_1_TEXT""}","{""ImportId"":""QID13_2_TEXT""}","{""ImportId"":""QID15_TEXT""}"
Yes,Yes,Often (4),Often (4),Rarely (2),Occasionally (3),Occasionally (3),Rarely (2),Rarely (2),Occasionally (3),Rarely (2),Often (4),Often (4),Never (1),Never (1),Never (1),Rarely (2),Rarely (2),Never (1),Very Often (5),Often (4),Very Often (5),Very Often (5),Rarely (2),Often (4),Very Often (5),Rarely (2),Rarely (2),Rarely (2),Often (4),Very Often (5),Rarely (2),Rarely (2),Sometimes (3),Rarely (2),Sometimes (3),Often (4),Often (4),Very Often (5),Very Often (5),Very Often (5),Never (1),Very Often (5),Never (1),Sometimes (3),Often (4),Never (1),Very Often (5),Very Often (5),Continue teaching,,,Yes (explain),I feel I can make a difference in the lives of the children that need it the most. ,,
Yes,Yes,Often (4),Rarely (2),Rarely (2),Often (4),Often (4),Often (4),Often (4),Never (1),Rarely (2),Very Often (5),Often (4),Never (1),Never (1),Rarely (2),Often (4),Never (1),Never (1),Sometimes (3),Rarely (2),Very Often (5),Sometimes (3),Rarely (2),Sometimes (3),Sometimes (3),Sometimes (3),Sometimes (3),Never (1),Sometimes (3),Often (4),Sometimes (3),Never (1),Very Often (5),Rarely (2),Rarely (2),Sometimes (3),Very Often (5),Often (4),Very Often (5),Very Often (5),Never (1),Often (4),Rarely (2),Very Often (5),Often (4),Never (1),Often (4),Often (4),Continue teaching,,,,,,
Yes,Yes,Never (1),Never (1),Never (1),Never (1),Never (1),Never (1),Never (1),Rarely (2),Never (1),Occasionally (3),Rarely (2),Never (1),Never (1),Never (1),Never (1),Never (1),Never (1),Very Often (5),Sometimes (3),Very Often (5),Very Often (5),Sometimes (3),Very Often (5),Often (4),Never (1),Rarely (2),Never (1),Rarely (2),Very Often (5),Never (1),Never (1),Sometimes (3),Often (4),Often (4),Very Often (5),Often (4),Very Often (5),Sometimes (3),Very Often (5),Never (1),Very Often (5),Never (1),Often (4),Very Often (5),Never (1),Often (4),Very Often (5),Continue teaching,,,Yes (explain),"I used to work in a district that had high numbers of students who had experienced trauma, and it was very difficult.  I believe that if I were still working in that district that at some point I probably would have left the profession.  I very much enjoy teaching in SRC though and do not want to leave the profession currently.",,"Many of the students who had experienced trauma acted out in loud, disruptive and sometimes violent ways.  There is sometimes the belief that if teachers had better relationships with the students that we can prevent that from happening, but it simply is not true.  I do think there needs to be better support for teachers in those situations, not blame.  Every teacher I have worked with was a teacher because they love working with kids and when a child escalates the situation the teachers work very hard to de-escalate.  Support for all they do would go a long way in retaining teachers at those tougher schools."
Yes,Yes,Often (4),Rarely (2),Never (1),Often (4),Often (4),Never (1),Rarely (2),Never (1),Occasionally (3),Often (4),Occasionally (3),Rarely (2),Occasionally (3),Never (1),Occasionally (3),Never (1),Occasionally (3),Often (4),Sometimes (3),Often (4),Often (4),Never (1),Rarely (2),Sometimes (3),Rarely (2),Often (4),Sometimes (3),Sometimes (3),Often (4),Sometimes (3),Never (1),Very Often (5),Rarely (2),Often (4),Often (4),Very Often (5),Often (4),Very Often (5),Very Often (5),Never (1),Often (4),Never (1),Very Often (5),Rarely (2),Never (1),Very Often (5),Sometimes (3),Retire,,,Yes (explain),Yes,,
Yes,Yes,Occasionally (3),Occasionally (3),Occasionally (3),Very Often (5),Very Often (5),Often (4),Often (4),Very Often (5),Often (4),Very Often (5),Very Often (5),Often (4),Occasionally (3),Occasionally (3),Very Often (5),Often (4),Often (4),Sometimes (3),Very Often (5),Sometimes (3),Sometimes (3),Very Often (5),Sometimes (3),Very Often (5),Often (4),Very Often (5),Very Often (5),Very Often (5),Rarely (2),Sometimes (3),Sometimes (3),Sometimes (3),Never (1),Never (1),Rarely (2),Very Often (5),Rarely (2),Very Often (5),Rarely (2),Sometimes (3),Sometimes (3),Often (4),Very Often (5),Never (1),Never (1),Very Often (5),Rarely (2),Other (explain),Continue teaching because I am stuck in the profession. I would get out if I could. Immediately. ,,No (explain),,No. The trauma is everywhere. I’m not even able to process all of it. ,"The teaching profession is t what it was set out to be. We are no longer just educators; we wear countless hats and it is too much. TOO MUCH. Not to mention the cost: physically, mentally, and emotionally. I wish with all the wishes in the world that I could leave the profession and work in a field where I’m paid adequately and appreciated for my value. "
Yes,Yes,Often (4),Very Often (5),Very Often (5),Very Often (5),Very Often (5),Very Often (5),Very Often (5),Very Often (5),Very Often (5),Very Often (5),Very Often (5),Very Often (5),Very Often (5),Very Often (5),Often (4),Occasionally (3),Occasionally (3),Sometimes (3),Very Often (5),Sometimes (3),Sometimes (3),Sometimes (3),Never (1),Very Often (5),Sometimes (3),Sometimes (3),Never (1),Often (4),Sometimes (3),Sometimes (3),Rarely (2),Often (4),Often (4),Often (4),Sometimes (3),Very Often (5),Sometimes (3),Very Often (5),Sometimes (3),Sometimes (3),Very Often (5),Never (1),Often (4),Very Often (5),Never (1),Often (4),Very Often (5),Leave the teaching profession,,Tired emotionally ,Yes (explain),The new norm is tiring and stressful.,,None
Yes,Yes,Never (1),Occasionally (3),Occasionally (3),Often (4),Rarely (2),Occasionally (3),Never (1),Rarely (2),Never (1),Often (4),Occasionally (3),Never (1),Rarely (2),Never (1),Occasionally (3),Occasionally (3),Never (1),Often (4),Very Often (5),Often (4),Often (4),Sometimes (3),Sometimes (3),Sometimes (3),Rarely (2),Never (1),Very Often (5),Very Often (5),Sometimes (3),Never (1),Never (1),Very Often (5),Sometimes (3),Sometimes (3),Rarely (2),Very Often (5),Often (4),Very Often (5),Often (4),Never (1),Often (4),Rarely (2),Very Often (5),Sometimes (3),Never (1),Very Often (5),Sometimes (3),Leave the teaching profession,,The District is constantly adding more and more to our plates. We can’t keep up and our personal families are effected by it. I have to work 2-3 hours outside of my contracted time just to keep my head above water each day. Teachers aren’t valued and definitely don’t make enough money for the time it takes away from my own children.,No (explain),,"I don’t believe that I have sustained any trauma from my students, past and present.",The demands on teachers are becoming too much. We need to go back to being able to just teach and make a difference in our student’s lives rather than all of the paperwork that is piled on us.
Yes,Yes,Often (4),Occasionally (3),Occasionally (3),Occasionally (3),Very Often (5),Occasionally (3),Often (4),Occasionally (3),Very Often (5),Very Often (5),Very Often (5),Occasionally (3),Rarely (2),Rarely (2),Very Often (5),Occasionally (3),Rarely (2),Rarely (2),Often (4),Often (4),Sometimes (3),Sometimes (3),Sometimes (3),Very Often (5),Rarely (2),Sometimes (3),Often (4),Often (4),Sometimes (3),Sometimes (3),Sometimes (3),Sometimes (3),Never (1),Rarely (2),Rarely (2),Very Often (5),Often (4),Very Often (5),Sometimes (3),Never (1),Sometimes (3),Never (1),Sometimes (3),Sometimes (3),Sometimes (3),Often (4),Sometimes (3),Leave the teaching profession,,Paperwork and unrealistic expectations. Poor work family life balance ,No (explain),,No. I enjoy helping students. ,N/A
