"Q3_1","Q3_2","Q3_3","Q3_4","Q3_5","Q3_6","Q3_7","Q3_8","Q3_9","Q3_10","Q3_11","Q3_12","Q3_13","Q3_14","Q3_15","Q3_16","Q3_17","Q5","Q4_2","Q4_5","Q4_7","Q4_9","Q4_11","Q4_13","Q4_14","Q4_23","Q4_25","Q4_28","leave_teaching","intrusion_score","avoidance_score","arousal_score","stss_total_score","proqol_sts_score"
4,4,2,3,3,2,2,3,2,4,4,1,1,1,2,2,1,"Continue teaching",4,2,5,2,4,2,2,1,1,1,0,13,14,14,41,24
4,2,2,4,4,4,4,1,2,5,4,1,1,2,4,1,1,"Continue teaching",2,2,3,3,3,3,1,1,2,1,0,14,18,14,46,21
1,1,1,1,1,1,1,2,1,3,2,1,1,1,1,1,1,"Continue teaching",3,3,4,2,2,1,1,1,1,1,0,7,7,7,21,19
4,2,1,4,4,1,2,1,3,4,3,2,3,1,3,1,3,"Retire",3,1,3,4,3,3,1,1,1,1,1,11,19,12,42,21
3,3,3,5,5,4,4,5,4,5,5,4,3,3,5,4,4,"Other (explain)",5,5,5,5,5,3,3,3,4,1,0,18,27,24,69,39
4,5,5,5,5,5,5,5,5,5,5,5,5,5,4,3,3,"Leave the teaching profession",5,3,5,3,4,3,2,3,1,1,1,25,32,22,79,30
1,3,3,4,2,3,1,2,1,4,3,1,2,1,3,3,1,"Leave the teaching profession",5,3,3,1,5,1,1,1,2,1,1,15,8,15,38,23
4,3,3,3,5,3,4,3,5,5,5,3,2,2,5,3,2,"Leave the teaching profession",4,3,5,3,4,3,3,1,1,3,1,16,25,19,60,30
4,5,3,4,3,4,1,2,3,4,4,2,1,2,5,1,3,"Retire",3,2,5,1,2,2,1,1,1,1,1,17,18,16,51,19
3,3,2,3,4,3,3,1,3,3,4,3,1,3,3,1,3,"Leave the teaching profession",4,2,5,2,2,3,2,1,1,1,1,12,22,12,46,23
3,4,3,3,4,2,4,4,4,5,4,4,3,3,4,3,3,"Leave the teaching profession",5,5,5,5,5,3,3,3,3,3,1,17,25,18,60,40
3,3,2,3,2,3,2,3,3,5,3,3,3,3,2,2,2,"Retire",4,4,5,2,4,2,2,3,1,2,1,16,18,13,47,29
2,1,1,3,2,1,2,3,2,4,3,1,1,1,2,1,1,"Continue teaching",2,2,4,2,2,2,2,1,1,2,0,8,11,12,31,20
3,2,3,4,3,1,2,1,2,4,4,1,1,2,3,1,2,"Become an administrator",4,1,1,1,1,2,2,1,1,1,1,11,15,13,39,15
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,"Leave the teaching profession",4,3,4,4,4,4,4,2,2,2,1,20,28,20,68,33
4,4,3,5,4,4,4,3,5,4,5,3,4,3,4,4,5,"Retire",4,3,3,3,4,3,2,3,3,3,1,19,28,21,68,31
3,3,4,3,3,2,2,3,4,5,3,2,2,2,3,NA,3,"Continue teaching",5,4,3,3,3,3,3,3,2,3,0,16,19,12,47,32
1,1,1,5,2,1,3,1,2,2,2,1,1,1,3,1,1,"Continue teaching",2,1,1,2,1,1,1,1,1,1,0,6,11,12,29,12
4,4,3,4,5,3,4,4,3,4,4,4,3,3,4,4,4,"Retire",4,2,3,3,4,4,3,3,3,3,1,17,27,20,64,32
3,2,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,"Retire",4,3,2,1,3,3,2,1,1,1,1,7,9,6,22,21
1,2,1,2,1,1,1,1,1,1,2,1,1,1,2,1,3,"Continue teaching",3,2,1,1,2,1,1,1,1,1,0,6,9,8,23,14
1,4,3,5,5,4,2,1,1,5,1,1,5,5,3,4,1,"Leave the teaching profession",5,5,5,1,5,2,1,1,5,2,1,21,16,14,51,32
5,5,3,4,5,4,4,4,5,5,4,4,3,2,5,5,4,"Continue teaching",5,4,5,3,5,5,3,2,3,3,0,20,29,22,71,38
1,3,1,5,2,1,2,3,4,5,3,1,1,2,3,1,1,"Become an administrator",4,2,4,1,3,1,1,1,1,1,1,11,13,15,39,19
2,1,1,1,2,1,1,2,1,5,3,1,1,1,2,2,1,"Continue teaching",3,3,4,2,1,2,2,1,1,2,0,9,9,10,28,21
4,4,2,5,3,3,2,3,1,4,4,2,1,3,3,2,3,"Continue teaching",3,1,4,2,4,2,2,2,1,2,0,14,18,17,49,23
2,1,1,3,3,2,1,1,1,3,1,1,1,3,5,1,2,"Continue teaching",5,2,5,1,3,1,1,1,1,1,0,8,13,11,32,21
2,4,2,4,4,3,4,3,2,5,4,1,1,3,3,4,1,"Leave the teaching profession",1,3,5,2,3,2,1,1,1,1,1,15,17,18,50,20
3,3,2,2,4,2,2,2,5,3,3,1,1,3,3,3,3,"Continue teaching",1,2,4,1,4,1,1,1,1,1,0,11,21,13,45,17
3,2,2,4,4,3,4,4,4,4,4,3,2,3,4,2,4,"Continue teaching",2,3,5,2,4,3,2,2,2,2,0,13,25,18,56,27
3,2,1,3,2,1,1,2,2,4,2,1,3,2,3,2,1,"Continue teaching",4,3,2,1,2,2,1,1,1,2,0,11,12,12,35,19
3,2,2,3,3,3,2,2,2,2,2,2,2,2,2,2,2,"Retire",3,2,2,2,2,2,2,2,2,2,1,11,16,11,38,21
1,1,1,2,2,1,2,1,2,1,2,1,1,1,1,2,1,"Continue teaching",3,2,2,1,1,2,1,2,1,1,0,5,10,8,23,16
3,3,3,4,4,3,3,4,4,4,2,2,3,4,3,3,3,"Continue teaching",5,4,3,2,3,2,2,2,3,2,0,16,23,16,55,28
4,3,3,4,5,2,3,4,5,5,4,2,1,3,4,5,1,"Continue teaching",4,4,4,4,5,4,1,1,2,5,0,14,23,21,58,34
2,2,1,2,2,2,2,1,2,4,2,1,2,2,2,1,1,"Continue teaching",2,1,5,1,1,1,1,1,1,1,0,11,12,8,31,15
3,3,1,5,4,1,1,1,4,4,4,5,4,4,4,1,4,"Continue teaching",5,1,5,1,5,1,1,1,1,1,0,13,25,15,53,22
2,2,3,4,4,3,3,1,1,5,3,2,2,2,3,2,3,"Continue teaching",5,2,5,3,3,2,2,2,1,1,0,15,17,13,45,26
2,3,3,5,4,3,3,3,3,3,3,2,1,3,3,3,1,"Continue teaching",4,2,4,2,3,2,1,1,1,1,0,13,18,17,48,21
4,2,2,4,4,3,4,3,4,4,4,4,3,3,4,2,4,"Continue teaching",2,3,2,2,2,1,1,1,2,2,0,14,27,17,58,18
2,2,1,2,3,1,3,1,2,2,2,2,1,2,3,2,1,"Continue teaching",2,2,2,1,2,2,1,1,1,1,0,7,15,10,32,15
4,1,1,1,4,1,3,1,4,4,2,1,1,1,4,2,1,"Continue teaching",4,1,3,1,4,2,1,1,1,1,0,8,18,10,36,19
1,1,1,1,2,2,1,1,1,1,1,1,1,2,2,1,1,"Continue teaching",2,1,2,1,2,1,1,1,1,1,0,6,9,6,21,13
